"MATERIA","DESCRIPCION","ABREVIATURA","DEPARTAMENTO","CURSO"
32190,Fundamentos de administración y gestión,FAGOP,,2º de Bachillerato (Humanidades y Ciencias Sociales)
32196,Religión católica,REL,,2º de Bachillerato (Humanidades y Ciencias Sociales)
30100,Ciencias de la Naturaleza,CNA,,2º de ESO
30102,"Ciencias Sociales, Geografía e Historia",CSO,,2º de ESO
30104,Educación Física,EFI,,2º de ESO
30106,Educación para la ciudadanía y los derechos humanos,ECDH,,2º de ESO
30108,Educación Plástica y Visual,EPV,,2º de ESO
30110,Lengua Castellana y Literatura,LCL,,2º de ESO
30112,Inglés,ING,,2º de ESO
30114,Francés,FRA,,2º de ESO
30116,Alemán,ALE,,2º de ESO
30118,Matemáticas,MAT,,2º de ESO
30120,Música,MUS,,2º de ESO
30122,Francés (Segundo Idioma),FR2OP,,2º de ESO
30124,Inglés (Segundo Idioma),IN2OP,,2º de ESO
30126,Taller Tecnológico y Profesional,TTECP,,2º de ESO
30132,Religión Católica,REL,,2º de ESO
30134,Religión Evangélica,REV,,2º de ESO
30136,Religión Islámica,RIS,,2º de ESO
30138,Religión Judía,RJU,,2º de ESO
30140,Historia y Cultura de las Religiones,HCR,,2º de ESO
30142,Ámbito Científico-Tecnológico,ACT,,4º de ESO
30144,Ámbito Sociolingüístico,ASL,,4º de ESO
30146,"Ciencias Sociales, Geografía e Historia",CSO,,4º de ESO
30148,Educación ético-cívica,EEC,,4º de ESO
30150,Educación Física,EFI,,4º de ESO
30152,Lengua Castellana y Literatura,LCL,,4º de ESO
30154,Matemáticas B,MATB,,4º de ESO
30156,Inglés,ING,,4º de ESO
30158,Francés,FRA,,4º de ESO
30160,Alemán,ALE,,4º de ESO
30162,Biología y Geología,BYG,,4º de ESO
30164,Educación Plástica y Visual,EPV,,4º de ESO
30166,Física y Química,FYQ,,4º de ESO
30168,Informática,INF,,4º de ESO
30170,Latín,LAT,,4º de ESO
30172,Música,MUS,,4º de ESO
30174,Francés (Segundo Idioma),FR2OP,,4º de ESO
30178,Tecnología,TEC,,4º de ESO
30180,Religión Católica,REL,,4º de ESO
30188,Historia y Cultura de las Religiones,HCR,,4º de ESO
29505,Religión Católica,REL,,1º de ESO
29507,Religión Evangélica,REV,,1º de ESO
29509,Religión Islámica,RIS,,1º de ESO
29511,Religión Judía,RJU,,1º de ESO
29513,Historia y Cultura de las Religiones,HCR,,1º de ESO
29180,Formación en Centros de Trabajo,FCT,,CFGS (Modular presencial) (Gestión Comercial y Marketing)
30190,Tecnologías,TEC,,2º de ESO
30194,Matemáticas A,MATA,,4º de ESO
29902,Competencias básicas,CB,,1º de PCPI - Operaciones Auxiliares de Fabricación Mecánica
29681,Ámbito Científico-Tecnológico,ACT,,3º de ESO
29683,Ámbito Sociolingüístico,ASL,,3º de ESO
29699,Inglés Técnico,INGTE,,2º de CFGS (Mantenimiento de Aviónica)
29908,Actividad física y deporte,AFD,,1º de PCPI - Operaciones Auxiliares de Fabricación Mecánica
29914,Módulo definido por el centro,MDC,,1º de PCPI - Operaciones Auxiliares de Fabricación Mecánica
29916,Operaciones de fabricación,OF,,1º de PCPI - Operaciones Auxiliares de Fabricación Mecánica
29918,Operaciones de montaje,OM,,1º de PCPI - Operaciones Auxiliares de Fabricación Mecánica
29920,Formación práctica en centro de trabajo,FCT,,1º de PCPI - Operaciones Auxiliares de Fabricación Mecánica
28668,Inglés Técnico,INGT,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28669,Formación en centros de trabajo,FCT,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28670,Formación y orientación laboral,FOL,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
30998,Procesos de mecanizado,PROME,,1º de CFGM (LOE) - Mecanizado
31000,Mecanizado por control numérico,MECNU,,1º de CFGM (LOE) - Mecanizado
31002,Fabricación por arranque de viruta,FAV,,1º de CFGM (LOE) - Mecanizado
31004,Interpretación gráfica,IGR,,1º de CFGM (LOE) - Mecanizado
31006,Formación y Orientación Laboral,FOL,,1º de CFGM (LOE) - Mecanizado
30470,Ámbito de la Comunicación,COM,,2º de PCPI - Auxiliar Informático
30472,Ámbito Científico-Tecnológico,ACT,,2º de PCPI - Auxiliar Informático
30474,Ámbito Social,SOC,,2º de PCPI - Auxiliar Informático
30546,Filosofía y ciudadanía,FC,,1º de Bachillerato (Ciencias y Tecnología)
30548,Lengua castellana y literatura I,LCL1,,1º de Bachillerato (Ciencias y Tecnología)
30550,Inglés I,ING1,,1º de Bachillerato (Ciencias y Tecnología)
30554,Alemán I,ALE1,,1º de Bachillerato (Ciencias y Tecnología)
30556,Biología y geología,BYG,,1º de Bachillerato (Ciencias y Tecnología)
30558,Dibujo técnico I,DBT1,,1º de Bachillerato (Ciencias y Tecnología)
30560,Física y química,FYQ,,1º de Bachillerato (Ciencias y Tecnología)
28671,Relaciones en el entorno de trabajo,RET,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28672,Materiales y estructuras de las aeronaves,MEA,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28673,Sistemas de la aeronave II,AII,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28674,"Motor de reacción, sus sistemas y la unidad de potencia auxiliar(A.P.U.)",MSP,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28676,Constitución y Navegación de las Aeronaves,CNA,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28677,Seguridad en el Mantenimiento de Aeronaves,SMA,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28678,Técnicas electromecánicas básicas para el mantenimiento,TEB,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28679,Hidráulica y neumática,HYN,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28680,Sistemas eléctricos/electrónicos de las aeronaves,SEE,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28681,"Motor de émbolo, hélices y sus sistemas",MEH,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
28682,Legislación y organización del mantenimiento,LOM,,CFGS (Modular presencial) (Mantenimiento Aeromecánico)
31014,Fabricación por Arranque de Viruta,FAV,,CFGM (Mod. Presencial) (LOE) - Mecanizado
30476,Operaciones auxiliares de montaje de componentes informáticos,OAMCI,,2º de PCPI - Auxiliar Informático
30478,Operaciones auxiliares de mantenimiento de sistemas microinformáticos,OAMSM,,2º de PCPI - Auxiliar Informático
30480,Operaciones auxiliares con tecnologías de la información y la comunicación,OATIC,,2º de PCPI - Auxiliar Informático
30482,Formación práctica en centro de trabajo,FCT,,2º de PCPI - Auxiliar Informático
31010,Procesos de mecanizado,PROME,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31012,Mecanizado por control numérico,MECNU,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31016,Interpretación gráfica,IGR,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31018,Formación y Orientación Laboral,FOL,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31020,"Fabricación por abrasión, electroerosión corte y conformado, y por procesos especiales",FABRA,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31022,Sistemas automatizados,SIA,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31024,Metrología y ensayos,MTE,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31026,Mecanizado avanzado por control numérico,MACN,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31028,Inglés técnico para la familia profesional de Fabricación Mecánica,ING,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31030,Empresa e iniciativa emprendedora,EIE,,CFGM (Mod. Presencial) (LOE) - Mecanizado
31032,Formación en Centros de Trabajo,FCT,,CFGM (Mod. Presencial) (LOE) - Mecanizado
30562,Matemáticas I,MAT1,,1º de Bachillerato (Ciencias y Tecnología)
30564,Tecnología industrial I,TIN1,,1º de Bachillerato (Ciencias y Tecnología)
30566,Francés (segundo idioma) I,FR2O1,,1º de Bachillerato (Ciencias y Tecnología)
30568,Tecnologías de la información y la comunicación,TICOP,,1º de Bachillerato (Ciencias y Tecnología)
30570,Biología y geología,BYGOP,,1º de Bachillerato (Ciencias y Tecnología)
30572,Dibujo técnico I,DT1OP,,1º de Bachillerato (Ciencias y Tecnología)
29121,Actividades Físico-Deportivas en Equipo,AFE,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29122,Formación y Orientación Laboral,FOL,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29123,Formación en Centros de Trabajo,FCT,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29124,Actividades Físicas para Personas con Discapacidades,AFP,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29125,Primeros Auxilios y Socorrismo Acuático,ASA,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29126,Organización Gestión de Pequeña Empresa Tiempo Libre y Socioeducativas,ETL,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29127,Animación y dinámica de grupos,ADG,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29128,Actividades físico-deportivas con implementos,AFD,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29129,Juegos y Actividades Físicas Recreativas para Animación,JAR,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29130,Actividades Físico-Deportivas Individuales,AFI,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29131,Metodología Didáctica de las Actividades Físico-Deportivas,MDF,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29132,Fundamentos Biológicos y Bases del Acondicionamiento Físico,FBI,,CFGS (Modular presencial) (Animación de Actividades Físicas y Deportivas)
29137,Formación en Centros de Trabajo,FCT,,CFGS (Modular presencial) (Administración y Finanzas)
31972,Historia de España,HESP,,2º de Bachillerato (Ciencias y Tecnología)
31974,Historia de la filosofía,HFILO,,2º de Bachillerato (Ciencias y Tecnología)
31976,Lengua castellana y literatura II,LCL2,,2º de Bachillerato (Ciencias y Tecnología)
31978,Inglés II,ING2,,2º de Bachillerato (Ciencias y Tecnología)
31980,Francés II,FRA2,,2º de Bachillerato (Ciencias y Tecnología)
31982,Alemán II,ALE2,,2º de Bachillerato (Ciencias y Tecnología)
31984,Historia de España,HESP,,2º de Bachillerato (Humanidades y Ciencias Sociales)
31986,Historia de la filosofía,HFILO,,2º de Bachillerato (Humanidades y Ciencias Sociales)
31988,Lengua castellana y literatura II,LCL2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
31990,Inglés II,ING2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
31992,Francés II,FRA2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
31994,Alemán II,ALE2,,2º de Bachillerato (Humanidades y Ciencias Sociales)
30616,Filosofía y ciudadanía,FC,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30618,Lengua castellana y literatura I,LCL1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30622,Inglés I,ING1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30624,Francés I,FRA1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30626,Alemán I,ALE1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30628,Economía,ECO,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30630,Griego I,GRI1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30632,Historia del mundo contemporáneo,HMC,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30634,Latín I,LAT1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30636,Matemáticas aplicadas a las ciencias sociales I,MACS1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30642,Francés (segundo idioma) I,FR2O1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30648,Alemán (segundo idioma) I,AL2O1,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30650,Tecnologías de la información y la comunicación,TICOP,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30652,Economía,ECOOP,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30654,Griego I,GR1OP,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30656,Historia del mundo contemporáneo,HMCOP,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30658,Latín I,LT1OP,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30660,Matemáticas aplicadas a las ciencias sociales I,MC1OP,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30662,Religión católica,REL,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30664,Religión evangélica,REV,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30666,Religión islámica,RIS,,1º de Bachillerato (Humanidades y Ciencias Sociales)
30668,Religión judía,RJU,,1º de Bachillerato (Humanidades y Ciencias Sociales)
32014,Biología,BIO,,2º de Bachillerato (Ciencias y Tecnología)
32016,Ciencias de la Tierra y medioambientales,CTM,,2º de Bachillerato (Ciencias y Tecnología)
32018,Dibujo técnico II,DBT2,,2º de Bachillerato (Ciencias y Tecnología)
32020,Electrotecnia,ELE,,2º de Bachillerato (Ciencias y Tecnología)
32022,Física,FIS,,2º de Bachillerato (Ciencias y Tecnología)
46976,Políticas de marketing,POM,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
46978,Marketing digital,MD,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
46980,Investigación Comercial,INC,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
46982,Gestión económica y financiera de la empresa,GEFE,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
46986,Formación y orientación laboral,FOL,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
49480,Marketing en la actividad comercial,MAC,,1º de CFGM (LOE) - Actividades  Comerciales
49486,Aplicaciones informáticas para el comercio,AIC,,1º de CFGM (LOE) - Actividades  Comerciales
49492,Formación y Orientación Laboral,FOL,,1º de CFGM (LOE) - Actividades  Comerciales
49494,Gestión de un pequeño comercio,GPC,,2º de CFGM (LOE) - Actividades  Comerciales
49498,Venta técnica,VT,,2º de CFGM (LOE) - Actividades  Comerciales
46434,Recursos humanos y responsabilidad social corporativa,RHRSC,,1º de CFGS (LOE) - Administración y Finanzas
47914,Logística de almacenamiento,LA,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47916,Logística de aprovisionamiento,LAPR,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47918,Proyecto de gestión de ventas y espacios comerciales,PGVEC,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47920,Formación en centros de trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
49456,Máquinas y equipos térmicos,MYET,,1º de CFGM (LOE) - Instalaciones de Producción de Calor
49460,Instalaciones Eléctricas y Automatismos,IEA,,1º de CFGM (LOE) - Instalaciones de Producción de Calor
49462,Inglés técnico para los Ciclos Formativos de grado medio de la familia profesional Instalación y Mantenimiento,ING,,1º de CFGM (LOE) - Instalaciones de Producción de Calor
49464,Formación y Orientación Laboral,FOL,,1º de CFGM (LOE) - Instalaciones de Producción de Calor
49466,Configuración de instalaciones caloríficas,CIC,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49468,Montaje y mantenimiento de instalaciones caloríficas,MMIC,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49470,Montaje y mantenimiento de instalaciones de agua,MMIA,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49472,Montaje y mantenimiento de instalaciones de energía solar,MMIES,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49474,Montaje y mantenimiento de instalaciones de gas y combustibles líquidos,MMIGC,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49476,Empresa e iniciativa emprendedora,EIE,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49478,Formación en Centros de Trabajo,FCT,,2º de CFGM (LOE) - Instalaciones de Producción de Calor
49482,Gestión de compras,GC,,1º de CFGM (LOE) - Actividades  Comerciales
49484,Procesos de venta,PV,,1º de CFGM (LOE) - Actividades  Comerciales
49488,Dinamización del punto de venta,DPV,,1º de CFGM (LOE) - Actividades  Comerciales
49490,Inglés,ING,,1º de CFGM (LOE) - Actividades  Comerciales
49496,Técnicas de almacen,TA,,2º de CFGM (LOE) - Actividades  Comerciales
49500,Servicios de atención comercial,SAC,,2º de CFGM (LOE) - Actividades  Comerciales
49502,Comercio electrónico,CE,,2º de CFGM (LOE) - Actividades  Comerciales
49504,Formación en Centros de Trabajo,FCT,,2º de CFGM (LOE) - Actividades  Comerciales
45786,"Técnicas digitales, sistemas de instrumentos electrónicos",TDSIE,,1º EASA B1.1
46984,Inglés,ING,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47164,Gestión de recursos humanos,GRH,,2º de CFGS (LOE) - Administración y Finanzas
47166,Gestión Financiera,GFI,,2º de CFGS (LOE) - Administración y Finanzas
47174,Proyecto de administración y finanzas,PAF,,2º de CFGS (LOE) - Administración y Finanzas
46624,Políticas de marketing,POM,,1º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
46626,Marketing digital,MD,,1º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
46628,Investigación comercial,INC,,1º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
46630,Gestión económica y financiera de la empresa,GEFE,,1º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
46632,Inglés,ING,,1º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
46634,Formación y orientación laboral,FOL,,1º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
46432,Gestión de la documentación jurídica y empresarial,GDJE,,1º de CFGS (LOE) - Administración y Finanzas
46436,Ofimática y proceso de la información,OPI,,1º de CFGS (LOE) - Administración y Finanzas
46438,Proceso integral de la actividad comercial,PIAC,,1º de CFGS (LOE) - Administración y Finanzas
46440,Comunicación y atención al cliente,CAC,,1º de CFGS (LOE) - Administración y Finanzas
46442,Inglés,ING,,1º de CFGS (LOE) - Administración y Finanzas
46444,Formación y orientación laboral,FOL,,1º de CFGS (LOE) - Administración y Finanzas
44858,Ámbito de la comunicación,COM,,2º de PCPI - Sin Especificar Familia
44860,Ámbito Científico-Tecnológico,ACT,,2º de PCPI - Sin Especificar Familia
44862,Ámbito social,SOC,,2º de PCPI - Sin Especificar Familia
47176,Formación en Centros de Trabajo,FCT,,2º de CFGS (LOE) - Administración y Finanzas
47180,Gestión de recursos humanos,GRH,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
47182,Gestión financiera,GFI,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
47186,Gestión logística y comercial,GLC,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
47188,Simulación empresarial,SE,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
47190,Proyecto de administración y finanzas,PAF,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
47192,Formación en Centros de Trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46892,Gestión de la documentación jurídica y empresarial,GDJE,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46894,Recursos humanos y responsabilidad social corporativa,RHRSC,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46896,Ofimática y proceso de la información,OPI,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46898,Proceso integral de la actividad comercial,PIAC,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46900,Comunicación y atención al cliente,CAC,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46902,Inglés,ING,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
46904,Formación y orientación laboral,FOL,,CFGS (Mod. Presencial) (LOE) - Administración y Finanzas
47890,Escaparatismo y diseño de espacios comerciales,EDEC,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47892,Gestión de productos y promociones en el punto de venta,GPPPV,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47894,Organización de equipos de ventas,OEV,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47896,Técnicas de venta y negociación,TVN,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47898,Logística de almacenamiento,LA,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47900,Logística de aprovisionamiento,LAPR,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47902,Proyecto de gestión de ventas y espacios comerciales,PGVEC,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47904,Formación en centros de trabajo,FCT,,2º de CFGS (LOE) - Gestión de Ventas y Espacios Comerciales
47906,Escaparatismo y diseño de espacios comerciales,EDEC,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47908,Gestión de productos y promociones en el punto de venta,GPPPV,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47910,Organización de equipos de ventas,OEV,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
47912,Técnicas de venta y negociación,TVN,,CFGS (Mod. Presencial) (LOE) - Gestión de Ventas y Espacios Comerciales
49284,Ciencias aplicadas I,CA1,,1º de FPB - Fabricación y Montaje
49308,Ciencias aplicadas I,CA1,,1º de FPB - Servicios Administrativos
47168,Contabilidad y fiscalidad,CFI,,2º de CFGS (LOE) - Administración y Finanzas
47170,Gestión logística y comercial,GLC,,2º de CFGS (LOE) - Administración y Finanzas
47172,Simulación empresarial,SE,,2º de CFGS (LOE) - Administración y Finanzas
49458,Técnicas de Montaje de Instalaciones,TMI,,1º de CFGM (LOE) - Instalaciones de Producción de Calor
49286,Comunicación y sociedad I,CS1,,1º de FPB - Fabricación y Montaje
49310,Comunicación y sociedad I,CS1,,1º de FPB - Servicios Administrativos
43546,Acceso a datos,AD,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43548,Desarrollo de interfaces,DI,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43550,Programación multimedia y dispositivos móviles,PMDM,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43554,Sistemas de gestión empresarial,SGE,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
41211,"Aerodinámica, estructuras y sistemas de aviones de turbina",AATI,,1º EASA B1.1
41213,Hélices,HE,,1º EASA B1.1
43560,Sistemas Informáticos,SISIN,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43562,Bases de Datos,BDD,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43564,Programación,PROG,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43566,Lenguajes de marcas y sistemas de gestión de información,LMSGI,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43568,Entornos de desarrollo,ENDES,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43574,Acceso a datos,AD,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43578,Programación multimedia y dispositivos móviles,PMDM,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43586,Formación en Centros de Trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43590,Desarrollo web en entorno servidor,DWES,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43592,Despliegue de aplicaciones web,DAW,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43594,Diseño de interfaces WEB,DIW,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43576,Desarrollo de interfaces,DI,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
43584,Empresa e iniciativa emprendedora,EIE,,CFGS (Mod. Presencial) (LOE) - Desarrollo de Aplicaciones Multiplataforma
41197,Matemáticas,MAT,,1º EASA B1.1
41199,Física,FIS,,1º EASA B1.1
41201,Fundamentos de electricidad,FELE,,1º EASA B1.1
41203,Fundamentos de electrónica,FELCA,,1º EASA B1.1
41207,Aerodinámica básica,AB,,1º EASA B1.1
41209,Legislación aeronáutica,LARC,,1º EASA B1.1
40511,Administración de sistemas operativos,ASO,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40513,Servicios de red e internet,SRI,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40515,Implantación de aplicaciones web,IAW,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40517,Administración de sistemas gestores de bases de datos,ASGBD,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40519,Seguridad y alta disponibilidad,SAD,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40521,Empresa e iniciativa emprendedora,EIE,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40523,Proyecto de administración de sistemas informáticos en red,PASIR,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
40525,Formación en Centros de Trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Administración de Sistemas Informáticos en Red
41249,"Materiales, equipos y herramientas",MEH,,2º EASA B1.1
41253,Factores humanos,FAHU,,2º EASA B1.1
41257,Motores de turbina de gas,MTUGA,,2º EASA B1.1
41277,Formación en Centros de Trabajo,FCT,,3º EASA B1.1
41283,Matemáticas,MAT,,Modular Presencial - EASA B1.1
41285,Física,FIS,,Modular Presencial - EASA B1.1
43204,Formación y Orientación Laboral,FOL,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43552,Programación de servicios y procesos,PSP,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43556,Empresa e iniciativa emprendedora,EIE,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43558,Formación en Centros de Trabajo,FCT,,2º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43602,Tratamiento de la documentación contable,TDC,,2º de CFGM (LOE) - Gestión Administrativa
43608,Operaciones administrativas de compraventa,OAC,,CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
43188,Sistemas Informáticos,SISIN,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43194,Bases de Datos,BDD,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43196,Programación,PROG,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43198,Lenguajes de marcas y sistemas de gestión de información,LMSGI,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43200,Entornos de desarrollo,ENDES,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43202,Inglés técnico para CFGS de la familia profesional Informática y Comunicaciones,ING,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Multiplataforma
43206,Sistemas Informáticos,SISIN,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43208,Bases de Datos,BDD,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43210,Programación,PROG,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43212,Lenguajes de marcas y sistemas de gestión de información,LMSGI,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43214,Entornos de desarrollo,ENDES,,1º de CFGS (LOE) - Desarrollo de Aplicaciones Web
43616,Operaciones auxiliares de gestión de tesorería,OAGT,,CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
43618,Formación y Orientación Laboral,FOL,,CFGM (Mod. Presencial) (LOE) - Gestión Administrativa
