"MATERIA","DESCRIPCION","ABREVIATURA","DEPARTAMENTO","CURSO"
32928,Servicios en red,SR,,2º de CFGM (LOE) - Sistemas Microinformáticos y Redes
32930,Empresa e iniciativa emprendedora,EIE,,2º de CFGM (LOE) - Sistemas Microinformáticos y Redes
32932,Formación en centros de trabajo,FCT,,2º de CFGM (LOE) - Sistemas Microinformáticos y Redes
32934,Interpretación gráfica,IGR,,1º de CFGM (LOE) - Soldadura y Calderería
32936,Mecanizado,MECA,,1º de CFGM (LOE) - Soldadura y Calderería
32938,Soldadura en atmósfera natural,SAN,,1º de CFGM (LOE) - Soldadura y Calderería
32940,Metrología y ensayos,MTE,,1º de CFGM (LOE) - Soldadura y Calderería
32942,Formación y orientación laboral,FOL,,1º de CFGM (LOE) - Soldadura y Calderería
32944,Inglés técnico para los CFGM de la familia profesional de fabricación mecánica,ING,,1º de CFGM (LOE) - Soldadura y Calderería
32946,"Trazado, corte y conformado",TCC,,2º de CFGM (LOE) - Soldadura y Calderería
32948,Soldadura en atmósfera protegida,SAP,,2º de CFGM (LOE) - Soldadura y Calderería
32950,Montaje,MONT,,2º de CFGM (LOE) - Soldadura y Calderería
32952,Empresa e iniciativa emprendedora,EIE,,2º de CFGM (LOE) - Soldadura y Calderería
32954,Formación en centros de trabajo,FCT,,2º de CFGM (LOE) - Soldadura y Calderería
32970,"Fabricación por abrasión, electroerosión corte y conformado, y por procesos especiales",FABRA,,2º de CFGM (LOE) - Mecanizado
32972,Sistemas automatizados,SIA,,2º de CFGM (LOE) - Mecanizado
32974,Metrología y ensayos,MTE,,2º de CFGM (LOE) - Mecanizado
32976,Mecanizado avanzado por control numérico,MACN,,2º de CFGM (LOE) - Mecanizado
32978,Inglés técnico para la familia profesional de Fabricación Mecánica,ING,,2º de CFGM (LOE) - Mecanizado
34024,Sistemas operativos monopuesto,SOM,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34026,Redes locales,REDL,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34028,Aplicaciones web,AWEB,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34030,Formación y Orientación Laboral,FOL,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34032,Inglés técnico para CFGM de la familia profesional de Informática y Comunicaciones,ING,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34034,Aplicaciones ofimáticas,APOF,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34036,Sistemas operativos en red,SRED,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34038,Seguridad informática,SEIN,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34040,Servicios en red,SR,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34042,Empresa e iniciativa emprendedora,EIE,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34044,Formación en Centros de Trabajo,FCT,,CFGM (Mod. Presencial) (LOE) - Sistemas Microinformáticos y Redes
34046,Diseño de construcciones metálicas,DCM,,2º de CFGS (LOE) - Construcciones Metálicas
34048,Programación de la producción,PP,,2º de CFGS (LOE) - Construcciones Metálicas
34050,"Gestión de la calidad, prevención de riesgos laborales y protección ambiental",GCPR,,2º de CFGS (LOE) - Construcciones Metálicas
34052,Proyectos de construcciones metálicas,PCM,,2º de CFGS (LOE) - Construcciones Metálicas
34054,Formación y Orientación Laboral,FOL,,2º de CFGS (LOE) - Construcciones Metálicas
34056,Empresa e iniciativa emprendedora,EIE,,2º de CFGS (LOE) - Construcciones Metálicas
34058,Formación en Centros de Trabajo,FCT,,2º de CFGS (LOE) - Construcciones Metálicas
34060,Proyecto de eficiencia energética y energía solar térmica,PEEST,,2º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
34466,Proyectos de construcciones metálicas,PCM,,CFGS (Mod. Presencial) (LOE) - Construcciones Metálicas
34468,Formación en Centros de Trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Construcciones Metálicas
34470,Equipos e instalaciones térmicas,EIT,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34472,Procesos de montaje de instalaciones,PMI,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34474,Representación gráfica de Instalaciones,RGI,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34476,Configuración de instalaciones solares térmicas,CIST,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34478,Promoción del uso eficiente de la energía y del agua,PUEEA,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34480,Inglés técnico para CFGS de la familia profesional de energía y agua,ING,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34482,Formación y Orientación Laboral,FOL,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34484,Eficiencia energética de instalaciones,EEIN,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34486,Certificación energética de edificios,CEED,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34488,Gestión eficiente del agua en edificación,GEAE,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34490,Gestión del montaje y mantenimiento de instalaciones solares térmicas,GMMI,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34492,Empresa e iniciativa emprendedora,EIE,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34494,Proyecto de eficiencia energética y energía solar térmica,PEEST,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34496,Formación en Centros de Trabajo,FCT,,CFGS (Mod. Presencial) (LOE) - Eficiencia Energética y Energía Solar
34078,Fabricación asistida por ordenador,FAO,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34080,Programación de la producción,PP,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34082,"Gestión de la calidad, prevención de riesgos laborales y protección ambiental",GCPR,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34084,Verificación de productos,VP,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34086,Formación y Orientación Laboral,FOL,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34088,Empresa e iniciativa emprendedora,EIE,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34090,Proyecto de fabricación de productos mecánicos,PFPM,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
34092,Formación en Centros de Trabajo,FCT,,2º de CFGS (LOE) - Programación de la Producción en Fabricación Mecánica
35160,Interpretación gráfica,IGR,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35164,Mecanizado,MECA,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35168,Soldadura en atmósfera natural,SAN,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35172,Metrología y ensayos,MTE,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35178,Formación y Orientación Laboral,FOL,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35182,Inglés técnico para CFGM de la familia profesional de fabricación mecánica,ING,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35188,"Trazado, corte y conformado",TCC,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35192,Soldadura en Atmósfera Protegida,SAP,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35196,Montaje,MONT,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
35200,Empresa e iniciativa emprendedora,EIE,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
32980,Empresa e iniciativa emprendedora,EIE,,2º de CFGM (LOE) - Mecanizado
32982,Formación en centros de trabajo,FCT,,2º de CFGM (LOE) - Mecanizado
33852,Equipos e instalaciones térmicas,EIT,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33854,Procesos de montaje de instalaciones,PMI,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33856,Representación gráfica de Instalaciones,RGI,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33858,Configuración de instalaciones solares térmicas,CIST,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33860,Promoción del uso eficiente de la energía y del agua,PUEEA,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33862,Inglés técnico para CFGS de la familia profesional de energía y agua,ING,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33864,Formación y Orientación Laboral,FOL,,1º de CFGS (LOE) - Eficiencia Energética y Energía Solar Térmica
33878,Interpretación gráfica,IGR,,1º de CFGS (LOE) - Programación de la Produc. en Fabricación Mecánica
33880,"Definición de Procesos de Mecanizado, Conformado y Montaje",DPM,,1º de CFGS (LOE) - Programación de la Produc. en Fabricación Mecánica
35204,Formación en Centros de Trabajo,FCT,,CFGM (Mod. Presencial) (LOE) - Soldadura y Calderería
33406,Representación gráfica en fabricación mecánica,RGF,,1º de CFGS (LOE) - Construcciones Metálicas
33408,Definición de procesos en construcciones metálicas,DCM,,1º de CFGS (LOE) - Construcciones Metálicas
33410,Programación de Sistemas Automáticos de Fabricación Mecánica,PSA,,1º de CFGS (LOE) - Construcciones Metálicas
37615,Servicios de red e internet,SRI,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37617,Implantación de aplicaciones web,IAW,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37619,Administración de sistemas gestores de bases de datos,ASGBD,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37621,Seguridad y alta disponibilidad,SAD,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37623,Proyecto de administración de sistemas informáticos en red,PASIR,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37625,Empresa e iniciativa emprendedora,EIE,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37627,Formación en Centros de Trabajo,FCT,,2º de CFGS (LOE) - Administración de Sistemas Informáticos en Red
37271,Operaciones administrativas de compraventa,OAC,,1º de CFGM (LOE) - Gestión Administrativa
37273,Tratamiento informático de la información,TI,,1º de CFGM (LOE) - Gestión Administrativa
37275,Técnica contable,TC,,1º de CFGM (LOE) - Gestión Administrativa
33882,Mecanizado por control numérico,MECNU,,1º de CFGS (LOE) - Programación de la Produc. en Fabricación Mecánica
33884,Programación de Sistemas Automáticos de Fabricación Mecánica,PSA,,1º de CFGS (LOE) - Programación de la Produc. en Fabricación Mecánica
33886,Ejecución de procesos de fabricación,EPF,,1º de CFGS (LOE) - Programación de la Produc. en Fabricación Mecánica
33888,Inglés técnico para CFGS de la familia profesional de fabricación mecánica,ING,,1º de CFGS (LOE) - Programación de la Produc. en Fabricación Mecánica
32756,Procesos de mecanizado,PROME,,CFGM (Mod. Libre) (LOE) - Mecanizado
32758,Mecanizado por control numérico,MECNU,,CFGM (Mod. Libre) (LOE) - Mecanizado
32764,Fabricación por Arranque de Viruta,FAV,,CFGM (Mod. Libre) (LOE) - Mecanizado
32766,Interpretación gráfica,IGR,,CFGM (Mod. Libre) (LOE) - Mecanizado
32768,Formación y Orientación Laboral,FOL,,CFGM (Mod. Libre) (LOE) - Mecanizado
34666,Interpretación gráfica,IGR,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34668,"Definición de Procesos de Mecanizado, Conformado y Montaje",DPM,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34670,Mecanizado por control numérico,MECNU,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34672,Programación de Sistemas Automáticos de Fabricación Mecánica,PSA,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34674,Ejecución de procesos de fabricación,EPF,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
34678,Inglés técnico para CFGS de la familia profesional de mecanizado,ING,,CFGS (Mod. Presencial) (LOE) - Programación de la Producción en Fabricación Mecánica
